Festival Name,Media 1 Festival,Media 2 Festival,Media 3 Festival,Description,Lineup artiste 1,Photo Lineup artiste 1,Lineup artiste 2,Photo Lineup artiste 2,Lineup artiste 3,Photo Lineup artiste 3,Lineup artiste 4,Photo Lineup artiste 4,Dates début,Dates fin,Genre,City,Country,Venue,Capacity,Website,Ticket Price (EUR),Accommodation Options,Nearest Airport,Atmosphere,Notes,Ticket Type,Currency,Price Tier 1,Price Tier 2,Price Tier 3,Description Hébergement Petit Groupe 1,Copie de  URL Hébergement Petit Groupe 1,Distance Hébergement Petit Groupe 1,Capacité Hebergement Petit Groupe 1,Prix/nuit Hébergement Petit Groupe 1,Prix total (3 nuits) Hébergement Petit Groupe 1,Équipements Hébergement Petit Groupe 1,Photo Hébergement Petit Groupe 1,Temps voiture Hébergement Petit Groupe 1, Description Hébergement Petit Groupe 2,URL Hébergement Petit Groupe 2,Distance Hébergement Petit Groupe 2,Capacité Hébergement Petit Groupe 2,Prix/nuit Hébergement Petit Groupe 2,Prix total (3 nuits) Hébergement Petit Groupe 2,Équipements Hébergement Petit Groupe 2,Photo Hébergement Petit Groupe 2,Temps voiture Hébergement Petit Groupe 2,Description Hébergement Petit Groupe 3,URL Hébergement Petit Groupe 3,Distance Hébergement Petit Groupe 3,Capacité Hébergement Petit Groupe 3,Prix/nuit Hébergement Petit Groupe 3,Prix total (3 nuits) Hébergement Petit Groupe 3,Équipements Hébergement Petit Groupe 3,Photo Hébergement Petit Groupe 3,Temps voiture Hébergement Petit Groupe 3,Description Hébergement Groupe Moyen 1,URL Hébergement Groupe Moyen 1,Distance Hébergement Groupe Moyen 1,Capacité Hébergement Groupe Moyen 1,Prix/nuit Hébergement Groupe Moyen 1,Prix total (3 nuits) Hébergement Groupe Moyen 1,Équipements Hébergement Groupe Moyen 1,Photo Hébergement Groupe Moyen 1,Temps voiture Hébergement Groupe Moyen 1,Description Hébergement Groupe Moyen 2,URL Hébergement Groupe Moyen 2,Distance Hébergement Groupe Moyen 2,Capacité Hébergement Groupe Moyen 2,Prix/nuit Hébergement Groupe Moyen 2,Prix total (3 nuits) Hébergement Groupe Moyen 2,Équipements Hébergement Groupe Moyen 2,Photo Hébergement Groupe Moyen 2,Temps voiture Hébergement Groupe Moyen 2,Description Hébergement Groupe Moyen 3,URL Hébergement Groupe Moyen 3,Distance Hébergement Groupe Moyen 3,Capacité Hébergement Groupe Moyen 3,Prix/nuit Hébergement Groupe Moyen 3,Prix total (3 nuits) Hébergement Groupe Moyen 3,Équipements Hébergement Groupe Moyen 3,Photo Hébergement Groupe Moyen 3,Temps voiture Hébergement Groupe Moyen 3,Description Hébergement Groupe Large 1,URL Hébergement Groupe Large 1,Distance Hébergement Groupe Large 1,Capacité Hébergement Groupe Large 1,Prix/nuit Hébergement Groupe Large 1,Prix total (3 nuits) Hébergement Groupe Large 1,Équipements Hébergement Groupe Large 1,Photo Hébergement Groupe Large 1,Temps voiture Hébergement Groupe Large 1,Description Hébergement Groupe Large 2,URL Hébergement Groupe Large 2,Distance Hébergement Groupe Large 2,Capacité Hébergement Groupe Large 2,Prix/nuit Hébergement Groupe Large 2,Prix total (3 nuits) Hébergement Groupe Large 2,Équipements Hébergement Groupe Large 2,Photo Hébergement Groupe Large 2,Temps voiture Hébergement Groupe Large 2,Description Hébergement Groupe Large 3,URL Hébergement Groupe Large 3,Distance Hébergement Groupe Large 3,Capacité Hébergement Groupe Large 3,Prix/nuit Hébergement Groupe Large 3,Prix total (3 nuits) Hébergement Groupe Large 3,Équipements Hébergement Groupe Large 3,Photo Hébergement Groupe Large 3,Temps voiture Hébergement Groupe Large 3,Description Hébergement Très Grand Groupe 1,URL Hébergement Très Grand Groupe 1,Distance Hébergement Très Grand Groupe 1,Capacité Hébergement Très Grand Groupe 1,Prix/nuit Hébergement Très Grand Groupe 1, Prix total (3 nuits) Hébergement Très Grand Groupe 1,Équipements Hébergement Très Grand Groupe 1,Photo Hébergement Très Grand Groupe 1,Temps voiture Hébergement Très Grand Groupe 1,Description Hébergement Très Grand Groupe 2,URL Hébergement Très Grand Groupe 2,Distance Hébergement Très Grand Groupe 2,Capacité Hébergement Très Grand Groupe 2,Prix/nuit Hébergement Très Grand Groupe 2,Prix total (3 nuits) Hébergement Très Grand Groupe 2,Équipements Hébergement Très Grand Groupe 2,Photo Hébergement Très Grand Groupe 2,Temps voiture Hébergement Très Grand Groupe 2,Description Vol 1,URL Vol 1,Aéroport de départ 1,Aéroport d’arrivée 1,Date Aller 1,Date Retour 1,Classe 1,Prix indicatif unitaire 1,Compagnie aérienne 1,Durée estimée du vol
Burning Man,,,,"Burning Man est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in plaines désertiques.",Black Coffee,,Jamie xx,,Damian Lazarus,,Acid Pauli,,2026-08-02,2026-08-07,Hardstyle,Hallstad,Thailand,Hallstad Open Air,21900,https://www.burningman.com,170,"Camping, Bungalow, No accommodation included",Hallstad International Airport,Multi-stage,Renowned for immersive experience and world-class DJs.,VIP,EUR,107,250,564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGTL Amsterdam,,,,"DGTL Amsterdam est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in sites côtiers.",Stephan Bodzin,,Adriatique,,ANNA,,Kölsch,,2026-08-25,2026-08-28,Techno,East Donnashire,Germany,East Donnashire Indoor Club,24266,https://www.dgtlamsterdam.com,315,Hotel,East Donnashire International Airport,Forest rave,Renowned for immersive experience and world-class DJs.,VIP,GBP,139,287,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADE,,,,"ADE est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in forêts isolées.",CamelPhat,,Nora En Pure,,Claptone,,Chris Liebing,,2026-07-10,2026-07-17,House,Michaelfurt,Portugal,Michaelfurt Indoor Club,73313,https://www.ade.com,106,No accommodation included,Michaelfurt International Airport,Multi-stage,Renowned for immersive experience and world-class DJs.,Backstage Pass,EUR,114,278,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boom Festival,,,,"Boom Festival est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in forêts isolées.",Astrix,,Infected Mushroom,,Liquid Soul,,Vini Vici,,2026-08-16,2026-08-21,Trance,Powellland,Hungary,Powellland Open Air,13162,https://www.boomfestival.com,112,"Hotel, Camping",Powellland International Airport,One-stage intimate,Renowned for immersive experience and world-class DJs.,VIP,EUR,120,216,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ozora Festival,,,,"Ozora Festival est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in forêts isolées.",Ajja,,Avalon,,Tristan,,Symbolic,,2026-07-07,2026-07-13,House,North Rogerburgh,Australia,North Rogerburgh Indoor Club,57182,https://www.ozorafestival.com,245,No accommodation included,North Rogerburgh International Airport,Multi-stage,Renowned for immersive experience and world-class DJs.,VIP,GBP,143,273,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mysteryland,,,,"Mysteryland est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in paysages urbains.",Hardwell,,Yotto,,Headhunterz,,Malaa,,2026-08-12,2026-08-19,Psytrance,Keychester,Australia,Keychester Open Air,35487,https://www.mysteryland.com,155,"Bungalow, No accommodation included",Keychester International Airport,Forest rave,Renowned for immersive experience and world-class DJs.,Backstage Pass,USD,131,282,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rampage,,,,"Rampage est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in plaines désertiques.",Subtronics,,Anyma,,Kayzo,,Virtual Riot,,2026-07-21,2026-07-23,House,Port Anthonytown,Belgium,Port Anthonytown Open Air,28591,https://www.rampage.com,51,Airbnb,Port Anthonytown International Airport,Desert gathering,Renowned for immersive experience and world-class DJs.,General Admission,USD,111,204,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shambhala,,,,"Shambhala est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in plaines désertiques.",Rezz,,CloZee,,Griz,,Opiuo,,2026-07-03,2026-07-05,Techno,Berrymouth,Italy,Berrymouth Indoor Club,74828,https://www.shambhala.com,209,Hotel,Berrymouth International Airport,Desert gathering,Renowned for immersive experience and world-class DJs.,General Admission,GBP,115,299,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airbeat One,,,,"Airbeat One est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in forêts isolées.",Dimitri Vegas & Like Mike,,W&W,,Alan Walker,,Bassjackers,,2026-08-19,2026-08-22,Techno,East Davidtown,Belgium,East Davidtown Indoor Club,22188,https://www.airbeatone.com,237,"Glamping, Airbnb",East Davidtown International Airport,Desert gathering,Renowned for immersive experience and world-class DJs.,Backstage Pass,USD,131,218,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fusion Festival,,,,"Fusion Festival est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in paysages urbains.",Nicolas Jaar,,Bonobo,,Acid Arab,,HVOB,,2026-07-17,2026-07-19,Trance,Colemanberg,Australia,Colemanberg Open Air,28828,https://www.fusionfestival.com,294,"No accommodation included, Bungalow",Colemanberg International Airport,Forest rave,Renowned for immersive experience and world-class DJs.,VIP,USD,128,245,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost Paradise,,,,"Lost Paradise est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in paysages urbains.",Rufus Du Sol,,Flume,,SG Lewis,,What So Not,,2026-07-11,2026-07-17,Hardstyle,Shafferport,Australia,Shafferport Indoor Club,14927,https://www.lostparadise.com,247,"Hotel, Airbnb",Shafferport International Airport,Multi-stage,Renowned for immersive experience and world-class DJs.,General Admission,EUR,149,298,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunburn Festival,,,,"Sunburn Festival est réputé pour son atmosphère vibrante, ses scènes spectaculaires et sa programmation éclectique d'artistes internationaux. Il allie musique, art et expériences culturelles pour créer un voyage inoubliable in forêts isolées.",KSHMR,,Nucleya,,Dimitri Vegas,,DJ Snake,,2026-07-14,2026-07-20,Hardstyle,Richardsonstad,Switzerland,Richardsonstad Open Air,51278,https://www.sunburnfestival.com,210,"Glamping, Camping, Airbnb",Richardsonstad International Airport,One-stage intimate,Renowned for immersive experience and world-class DJs.,General Admission,GBP,54,290,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
